City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Alice Springs,AU,74.75,moderate rain,-23.7,133.8833,Desert Palms Alice Springs
5,Hermanus,ZA,87.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
9,Bredasdorp,ZA,79.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
10,Mar Del Plata,AR,78.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
11,Trincomalee,LK,80.44,broken clouds,8.5711,81.2335,Welcombe Hotel
12,Rikitea,PF,76.32,light rain,-23.1203,-134.9692,People ThankYou
16,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Port Alfred,ZA,72.64,few clouds,-33.5906,26.891,The Halyards Hotel
24,Hilo,US,67.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Inhambane,MZ,84.18,few clouds,-23.865,35.3833,Oceano
28,Umm Lajj,SA,66.63,clear sky,25.0213,37.2685,Moon light Furnished Units
29,Ancud,CL,71.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
30,Flinders,AU,76.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
31,Samarai,PG,78.84,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
33,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
36,Lebu,CL,65.19,clear sky,-37.6167,-73.65,Hostal Las Lilas
43,Trelew,AR,91.87,clear sky,-43.249,-65.3051,Hotel Touring Club
46,Airai,TL,60.89,overcast clouds,-8.9266,125.4092,
47,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Hobart,AU,62.26,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
49,Sur,OM,72.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
51,Busselton,AU,71.1,clear sky,-33.65,115.3333,Observatory Guest House
52,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
53,Sao Filipe,CV,71.62,overcast clouds,14.8961,-24.4956,Hotel Xaguate
54,Ambilobe,MG,74.86,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
55,Axim,GH,86.76,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
57,Vaini,TO,81.43,overcast clouds,-21.2,-175.2,Keleti Beach Resort
58,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
60,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Villa Enata
61,Maldonado,UY,78.19,clear sky,-34.6667,-54.9167,La Cimarrona
62,New Norfolk,AU,61.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
63,Gao,ML,84.85,few clouds,16.6362,1.637,
69,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Pisco,PE,74.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,Dondo,MZ,85.51,scattered clouds,-19.6094,34.7431,Arco Iris
74,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
76,Hervey Bay,AU,76.01,few clouds,-25.2986,152.8535,Shelly Bay Resort
77,Port Elizabeth,ZA,79.11,few clouds,-33.918,25.5701,39 On Nile Guest House
79,Daru,PG,77.86,overcast clouds,-9.0763,143.2092,Daru Lodge
80,Toamasina,MG,80.6,scattered clouds,-18.1667,49.3833,Hotel H1
