City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Husavik,IS,66.0449,-17.3389,26.51,77,25,15.23,scattered clouds
1,Novonikolsk,RU,43.8506,131.8645,6.58,90,51,3.02,broken clouds
2,Alice Springs,AU,-23.7,133.8833,74.75,94,100,13.8,moderate rain
3,Mataura,NZ,-46.1927,168.8643,56.39,74,99,1.32,light rain
4,Punta Arenas,CL,-53.15,-70.9167,59.02,62,75,19.57,light rain
5,Hermanus,ZA,-34.4187,19.2345,87.91,55,0,23.31,clear sky
6,Namangan,UZ,40.9983,71.6726,32.45,80,13,4.61,mist
7,Tiarei,PF,-17.5333,-149.3333,77.0,76,16,13.51,light rain
8,Marystown,CA,47.1666,-55.1483,37.85,100,100,7.0,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,79.29,57,0,16.11,clear sky
10,Mar Del Plata,AR,-38.0023,-57.5575,78.87,55,0,11.99,clear sky
11,Trincomalee,LK,8.5711,81.2335,80.44,80,74,10.76,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,76.32,78,100,10.8,light rain
13,Shimoda,JP,34.6667,138.95,40.1,65,58,11.34,broken clouds
14,Kenai,US,60.5544,-151.2583,19.45,93,20,0.0,few clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,100,17.27,light snow
16,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,86,9.33,overcast clouds
17,Bluff,NZ,-46.6,168.3333,56.35,90,100,9.4,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,58.66,67,40,3.44,scattered clouds
19,Khatanga,RU,71.9667,102.5,-2.34,98,100,4.85,light snow
20,Port Alfred,ZA,-33.5906,26.891,72.64,64,22,13.29,few clouds
21,Tommot,RU,58.9564,126.2925,-4.95,95,100,8.39,overcast clouds
22,Chamba,IN,32.5667,76.1333,49.75,57,0,7.9,clear sky
23,San Julian,MX,21.0167,-102.1667,52.57,63,2,6.33,clear sky
24,Hilo,US,19.7297,-155.09,67.8,75,75,6.91,broken clouds
25,Yellowknife,CA,62.456,-114.3525,-8.45,84,100,5.75,light snow
26,Inhambane,MZ,-23.865,35.3833,84.18,79,20,8.01,few clouds
27,Fereydunshahr,IR,32.941,50.121,5.05,71,0,5.53,clear sky
28,Umm Lajj,SA,25.0213,37.2685,66.63,42,0,14.25,clear sky
29,Ancud,CL,-41.8697,-73.8203,71.42,57,30,8.41,scattered clouds
30,Flinders,AU,-34.5833,150.8552,76.17,84,100,5.99,overcast clouds
